File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;File Lines;Learning;NbOthors
tensorflow\python\saved_model\main_op_impl.py;Sukriti Ramesh;56;91.80327868852459;Yutaka Leon   ;3;4.918032786885246;Anna R        ;4;6.557377049180328;61;false;3
tensorflow\python\saved_model\signature_def_utils.py;David Soergel         ;22;66.66666666666667;A. Unique TensorFlower;5;15.151515151515152;Patrick Nguyen        ;8;24.242424242424242;33;false;3
tensorflow\python\saved_model\utils_impl.py;Sukriti Ramesh        ;36;41.86046511627907;A. Unique TensorFlower;48;55.81395348837209;Anna R                ;4;4.651162790697675;86;false;3
tensorflow\python\summary\summary_iterator.py;Dan Mané ;66;95.65217391304348;Nick Felt;2;2.898550724637681;Anna R   ;3;4.3478260869565215;69;false;3
tensorflow\python\summary\writer\event_file_writer.py;Dan Mané              ;146;84.88372093023256;Ziming Dong           ;21;12.209302325581396;A. Unique TensorFlower;7;4.069767441860465;172;false;3
tensorflow\python\summary\writer\writer_cache.py;Dan Mané    ;58;90.625;Anna R      ;3;4.6875;Dan Ringwalt;5;7.8125;64;false;3
tensorflow\python\tools\print_selective_registration_header.py;A. Unique TensorFlower;62;79.48717948717949;Androbin              ;16;20.512820512820515;Justine Tunney        ;2;2.5641025641025643;78;false;3
tensorflow\python\tools\selective_registration_header_lib.py;A. Unique TensorFlower;143;80.7909604519774;Vivek Rane            ;2;1.1299435028248588;Manjunath Kudlur      ;34;19.2090395480226;177;false;3
tensorflow\python\training\basic_loops.py;A. Unique TensorFlower;58;95.08196721311475;Anna R                ;3;4.918032786885246;Dandelion Mané        ;2;3.278688524590164;61;false;3
tensorflow\python\training\summary_io.py;Dan Mané        ;62;76.54320987654322;Manjunath Kudlur;16;19.753086419753085;Vijay Vasudevan ;5;6.172839506172839;81;false;3
tensorflow\python\util\compat_internal.py;Jonathan Hseu;32;88.88888888888889;cclauss      ;3;8.333333333333334;Michael Case ;3;8.333333333333334;36;false;3
tensorflow\python\util\decorator_utils.py;Martin Wicke          ;58;45.669291338582674;A. Unique TensorFlower;48;37.79527559055118;Illia Polosukhin      ;23;18.11023622047244;127;false;3
tensorflow\python\util\tf_decorator.py;Charles Nicholson     ;158;89.77272727272727;Akshay Agrawal        ;15;8.522727272727273;A. Unique TensorFlower;5;2.840909090909091;176;false;3
tensorflow\tools\pip_package\simple_console.py;A. Unique TensorFlower;1;3.0303030303030303;Manjunath Kudlur      ;25;75.75757575757575;Vijay Vasudevan       ;9;27.272727272727273;33;false;3
tensorflow\tools\quantization\graph_to_dot.py;A. Unique TensorFlower;2;2.9411764705882355;Pete Warden           ;62;91.17647058823529;Justine Tunney        ;6;8.823529411764707;68;false;3
