File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;File Lines;Learning;NbOthors
tensorflow\python\ops\summary_ops.py;Dan Mané              ;28;32.94117647058823;Dandelion Man?        ;29;34.11764705882353;A. Unique TensorFlower;28;32.94117647058823;Anna R                ;3;3.5294117647058822;85;false;4
tensorflow\python\ops\tensor_array_grad.py;A. Unique TensorFlower;18;7.407407407407407;Eugene Brevdo         ;207;85.18518518518519;Vijay Vasudevan       ;7;2.880658436213992;Jonathan Hseu         ;14;5.761316872427984;243;false;4
tensorflow\python\ops\distributions\bijector_impl.py;A. Unique TensorFlower;703;85.31553398058253;Anna R                ;3;0.3640776699029126;Joshua V. Dillon      ;15;1.8203883495145632;Ian Langmore          ;106;12.864077669902912;824;false;4
tensorflow\python\ops\linalg\linear_operator.py;Ian Langmore          ;936;98.73417721518987;Eugene Brevdo         ;4;0.4219409282700422;A. Unique TensorFlower;8;0.8438818565400844;Anna R                ;3;0.31645569620253167;948;false;4
tensorflow\python\ops\linalg\linear_operator_identity.py;Ian Langmore          ;712;98.34254143646409;A. Unique TensorFlower;8;1.1049723756906078;Eugene Brevdo         ;3;0.4143646408839779;Anna R                ;4;0.5524861878453039;724;false;4
tensorflow\python\platform\flags.py;A. Unique TensorFlower;1;0.8;Manjunath Kudlur      ;15;12;Yilei Yang            ;107;85.6;Vijay Vasudevan       ;5;4;125;false;4
tensorflow\python\platform\parameterized.py;A. Unique TensorFlower;1;4.761904761904762;Manjunath Kudlur      ;15;71.42857142857143;David G. Andersen     ;3;14.285714285714286;Vijay Vasudevan       ;5;23.80952380952381;21;false;4
tensorflow\python\platform\status_bar.py;A. Unique TensorFlower;1;4.166666666666667;Manjunath Kudlur      ;15;62.5;David G. Andersen     ;6;25;Vijay Vasudevan       ;5;20.833333333333332;24;false;4
tensorflow\python\profiler\tfprof_logger.py;A. Unique TensorFlower;207;94.95412844036697;Justine Tunney        ;7;3.2110091743119265;Anna R                ;3;1.3761467889908257;Shanqing Cai          ;4;1.834862385321101;218;false;4
tensorflow\python\saved_model\signature_constants.py;Sukriti Ramesh;61;53.982300884955755;Patrick Nguyen;20;17.699115044247787;Anna R        ;29;25.663716814159294;Kiril Gorovoy ;6;5.3097345132743365;113;false;4
