File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;File Lines;Learning;NbOthors
tensorflow\python\keras\preprocessing\text\__init__.py;Yifei Feng      ;9;33.333333333333336;Francois Chollet;19;70.37037037037037;27;false;2
tensorflow\python\keras\regularizers\__init__.py;Francois Chollet;22;57.89473684210526;Yifei Feng      ;17;44.73684210526316;38;false;2
tensorflow\python\keras\wrappers\__init__.py;Yifei Feng      ;7;28;Francois Chollet;19;76;25;false;2
tensorflow\python\keras\wrappers\scikit_learn\__init__.py;Yifei Feng      ;8;30.76923076923077;Francois Chollet;19;73.07692307692308;26;false;2
tensorflow\python\keras\_impl\keras\activations.py;Francois Chollet;132;90.41095890410959;Anna R          ;15;10.273972602739725;146;false;2
tensorflow\python\keras\_impl\keras\metrics.py;Francois Chollet;98;92.45283018867924;Anna R          ;9;8.49056603773585;106;false;2
tensorflow\python\keras\_impl\keras\regularizers.py;Francois Chollet;102;91.89189189189189;Anna R          ;10;9.00900900900901;111;false;2
tensorflow\python\keras\_impl\keras\__init__.py;Francois Chollet;42;97.67441860465117;Yifei Feng      ;2;4.651162790697675;43;false;2
tensorflow\python\keras\_impl\keras\applications\densenet.py;Francois Chollet;346;97.74011299435028;Anna R          ;9;2.542372881355932;354;false;2
tensorflow\python\keras\_impl\keras\applications\nasnet.py;Francois Chollet;783;99.36548223350253;Anna R          ;6;0.7614213197969543;788;false;2
tensorflow\python\keras\_impl\keras\datasets\cifar.py;Francois Chollet;41;80.3921568627451;Anjali Sridhar  ;11;21.568627450980394;51;false;2
tensorflow\python\keras\_impl\keras\datasets\fashion_mnist.py;Anjali Sridhar  ;56;93.33333333333333;Francois Chollet;5;8.333333333333334;60;false;2
tensorflow\python\keras\_impl\keras\datasets\__init__.py;Anjali Sridhar  ;3;10.714285714285714;Francois Chollet;26;92.85714285714286;28;false;2
tensorflow\python\keras\_impl\keras\engine\training_eager.py;Anjali Sridhar  ;603;98.52941176470588;Francois Chollet;10;1.6339869281045751;612;true;2
tensorflow\python\keras\_impl\keras\engine\__init__.py;Francois Chollet;24;80;Yifei Feng      ;7;23.333333333333332;30;false;2
tensorflow\python\keras\_impl\keras\layers\advanced_activations.py;Francois Chollet;272;97.84172661870504;Anna R          ;7;2.5179856115107913;278;false;2
tensorflow\python\keras\_impl\keras\layers\embeddings.py;Francois Chollet;177;98.88268156424581;Anna R          ;3;1.675977653631285;179;false;2
tensorflow\python\keras\_impl\keras\layers\noise.py;Francois Chollet;187;97.90575916230367;Anna R          ;5;2.6178010471204187;191;false;2
tensorflow\python\keras\_impl\keras\layers\serialization.py;Francois Chollet;47;74.60317460317461;Yifei Feng      ;17;26.984126984126984;63;false;2
tensorflow\python\keras\_impl\keras\preprocessing\text.py;Francois Chollet;365;98.9159891598916;Anna R          ;5;1.3550135501355014;369;true;2
tensorflow\python\keras\_impl\keras\preprocessing\__init__.py;Francois Chollet;21;87.5;Yifei Feng      ;4;16.666666666666668;24;false;2
tensorflow\python\keras\_impl\keras\utils\conv_utils.py;Francois Chollet;71;98.61111111111111;Yifei Feng      ;2;2.7777777777777777;72;false;2
tensorflow\python\keras\_impl\keras\utils\vis_utils.py;Francois Chollet;153;98.70967741935483;Anna R          ;3;1.935483870967742;155;false;2
tensorflow\python\keras\_impl\keras\utils\__init__.py;Francois Chollet;37;97.36842105263158;Anjali Sridhar  ;2;5.2631578947368425;38;false;2
tensorflow\python\keras\_impl\keras\wrappers\__init__.py;Francois Chollet;21;95.45454545454545;Yifei Feng      ;2;9.090909090909092;22;false;2
tensorflow\python\ops\control_flow_util.py;Skye Wanderman-Milne;228;86.69201520912547;Eugene Brevdo       ;36;13.688212927756654;263;false;2
tensorflow\python\ops\initializers_ns.py;Andrew Selle          ;42;97.67441860465117;A. Unique TensorFlower;2;4.651162790697675;43;false;2
tensorflow\python\ops\resources.py;A. Unique TensorFlower;101;86.32478632478633;Eugene Brevdo         ;17;14.52991452991453;117;false;2
tensorflow\python\ops\sdca_ops.py;A. Unique TensorFlower;35;85.36585365853658;Martin Wicke          ;7;17.073170731707318;41;false;2
tensorflow\python\ops\sets.py;A. Unique TensorFlower;28;80;Patrick Nguyen        ;8;22.857142857142858;35;false;2
tensorflow\python\ops\spectral_ops.py;RJ Ryan;245;96.83794466403162;Anna R ;9;3.5573122529644268;253;false;2
tensorflow\python\ops\linalg\linear_operator_util.py;Ian Langmore          ;298;99.66555183946488;A. Unique TensorFlower;2;0.6688963210702341;299;false;2
tensorflow\python\profiler\pprof_profiler.py;Anna R        ;444;99.7752808988764;Justine Tunney;2;0.449438202247191;445;false;2
tensorflow\python\profiler\profiler.py;A. Unique TensorFlower;57;89.0625;Anna R                ;8;12.5;64;false;2
tensorflow\python\saved_model\builder.py;Sukriti Ramesh;26;74.28571428571429;Patrick Nguyen;10;28.571428571428573;35;false;2
tensorflow\python\saved_model\constants.py;Sukriti Ramesh;63;76.82926829268293;Anna R        ;20;24.390243902439025;82;false;2
tensorflow\python\saved_model\saved_model.py;Patrick Nguyen;41;80.3921568627451;Sukriti Ramesh;11;21.568627450980394;51;false;2
tensorflow\python\saved_model\utils.py;Sukriti Ramesh        ;28;93.33333333333333;A. Unique TensorFlower;3;10;30;false;2
tensorflow\python\training\checkpoint_ops.py;A. Unique TensorFlower;461;95.05154639175258;Martin Wicke          ;25;5.154639175257732;485;false;2
tensorflow\python\training\tensorboard_logging.py;A. Unique TensorFlower;163;97.60479041916167;Josh Levenberg        ;5;2.9940119760479043;167;false;2
tensorflow\python\util\lazy_loader.py;Mark Daoust     ;57;98.27586206896552;Andreas Solleder;2;3.4482758620689653;58;false;2
tensorflow\tools\common\traverse.py;Martin Wicke     ;85;92.3913043478261;Charles Nicholson;8;8.695652173913043;92;false;2
tensorflow\tools\graph_transforms\__init__.py;Pete Warden  ;50;92.5925925925926;Gunhan Gulsoy;5;9.25925925925926;54;false;2
