File;Othor1;LineOthor1;Contribution1;Lines File; Learning ; NbOthors
tensorflow\contrib\nccl\__init__.py;A. Unique TensorFlower;38;100;38;false;1
tensorflow\contrib\nccl\python\ops\nccl_ops.py;A. Unique TensorFlower;271;100;271;false;1
tensorflow\contrib\nearest_neighbor\__init__.py;A. Unique TensorFlower;36;100;36;false;1
tensorflow\contrib\nearest_neighbor\python\ops\nearest_neighbor_ops.py;A. Unique TensorFlower;64;100;64;false;1
tensorflow\contrib\nn\python\ops\alpha_dropout.py;A. Unique TensorFlower;86;100;86;false;1
tensorflow\contrib\nn\python\ops\fwd_gradients.py;A. Unique TensorFlower;76;100;76;false;1
tensorflow\contrib\nn\python\ops\scaled_softplus.py;A. Unique TensorFlower;115;100;115;false;1
tensorflow\contrib\opt\python\training\addsign.py;A. Unique TensorFlower;168;100;168;false;1
tensorflow\contrib\opt\python\training\drop_stale_gradient_optimizer.py;A. Unique TensorFlower;114;100;114;false;1
tensorflow\contrib\opt\python\training\lazy_adam_optimizer.py;A. Unique TensorFlower;80;100;80;false;1
tensorflow\contrib\opt\python\training\model_average_optimizer.py;Jianwei Xie;308;100;308;false;1
tensorflow\contrib\opt\python\training\multitask_optimizer_wrapper.py;Yifei Feng;140;100;140;false;1
tensorflow\contrib\opt\python\training\nadam_optimizer.py;A. Unique TensorFlower;96;100;96;false;1
tensorflow\contrib\opt\python\training\powersign.py;A. Unique TensorFlower;172;100;172;false;1
tensorflow\contrib\opt\python\training\sign_decay.py;A. Unique TensorFlower;158;100;158;false;1
tensorflow\contrib\periodic_resample\__init__.py;Jeff;27;100;27;false;1
tensorflow\contrib\periodic_resample\python\__init__.py;Shanqing Cai;20;100;20;false;1
tensorflow\contrib\predictor\contrib_estimator_predictor.py;A. Unique TensorFlower;74;100;74;false;1
tensorflow\contrib\predictor\saved_model_predictor.py;A. Unique TensorFlower;167;100;167;false;1
tensorflow\contrib\predictor\__init__.py;A. Unique TensorFlower;32;100;32;false;1
tensorflow\contrib\py2tf\__init__.py;A. Unique TensorFlower;36;100;36;false;1
tensorflow\contrib\py2tf\converters\asserts.py;A. Unique TensorFlower;53;100;53;false;1
tensorflow\contrib\py2tf\converters\break_statements.py;A. Unique TensorFlower;120;100;120;false;1
tensorflow\contrib\py2tf\converters\builtin_functions.py;A. Unique TensorFlower;76;100;76;false;1
tensorflow\contrib\py2tf\converters\call_trees.py;A. Unique TensorFlower;275;100;275;false;1
tensorflow\contrib\py2tf\converters\continue_statements.py;A. Unique TensorFlower;127;100;127;false;1
tensorflow\contrib\py2tf\converters\control_flow.py;A. Unique TensorFlower;221;100;221;false;1
tensorflow\contrib\py2tf\converters\decorators.py;A. Unique TensorFlower;62;100;62;false;1
tensorflow\contrib\py2tf\converters\for_loops.py;A. Unique TensorFlower;86;100;86;false;1
tensorflow\contrib\py2tf\converters\list_comprehension.py;A. Unique TensorFlower;80;100;80;false;1
tensorflow\contrib\py2tf\converters\logical_expressions.py;A. Unique TensorFlower;74;100;74;false;1
tensorflow\contrib\py2tf\converters\side_effect_guards.py;A. Unique TensorFlower;190;100;190;false;1
tensorflow\contrib\py2tf\converters\__init__.py;A. Unique TensorFlower;22;100;22;false;1
tensorflow\contrib\py2tf\impl\config.py;A. Unique TensorFlower;45;100;45;false;1
tensorflow\contrib\py2tf\impl\conversion.py;A. Unique TensorFlower;282;100;282;false;1
tensorflow\contrib\py2tf\impl\naming.py;A. Unique TensorFlower;132;100;132;false;1
tensorflow\contrib\py2tf\pyct\anno.py;A. Unique TensorFlower;72;100;72;false;1
tensorflow\contrib\py2tf\pyct\ast_util.py;A. Unique TensorFlower;96;100;96;false;1
tensorflow\contrib\py2tf\pyct\compiler.py;A. Unique TensorFlower;72;100;72;false;1
tensorflow\contrib\py2tf\pyct\context.py;A. Unique TensorFlower;43;100;43;false;1
tensorflow\contrib\py2tf\pyct\parser.py;A. Unique TensorFlower;40;100;40;false;1
tensorflow\contrib\py2tf\pyct\pretty_printer.py;A. Unique TensorFlower;113;100;113;false;1
tensorflow\contrib\py2tf\pyct\qual_names.py;A. Unique TensorFlower;104;100;104;false;1
tensorflow\contrib\py2tf\pyct\templates.py;A. Unique TensorFlower;156;100;156;false;1
tensorflow\contrib\py2tf\pyct\transformer.py;A. Unique TensorFlower;69;100;69;false;1
tensorflow\contrib\py2tf\pyct\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\py2tf\pyct\static_analysis\activity.py;A. Unique TensorFlower;270;100;270;false;1
tensorflow\contrib\py2tf\pyct\static_analysis\annos.py;A. Unique TensorFlower;50;100;50;false;1
tensorflow\contrib\py2tf\pyct\static_analysis\live_values.py;A. Unique TensorFlower;112;100;112;false;1
tensorflow\contrib\py2tf\pyct\static_analysis\type_info.py;A. Unique TensorFlower;186;100;186;false;1
tensorflow\contrib\py2tf\pyct\static_analysis\__init__.py;A. Unique TensorFlower;29;100;29;false;1
tensorflow\contrib\py2tf\utils\context_managers.py;A. Unique TensorFlower;42;100;42;false;1
tensorflow\contrib\py2tf\utils\misc.py;A. Unique TensorFlower;50;100;50;false;1
tensorflow\contrib\py2tf\utils\multiple_dispatch.py;A. Unique TensorFlower;90;100;90;false;1
tensorflow\contrib\py2tf\utils\printing.py;A. Unique TensorFlower;47;100;47;false;1
tensorflow\contrib\py2tf\utils\py_func.py;A. Unique TensorFlower;69;100;69;false;1
tensorflow\contrib\py2tf\utils\tensor_list.py;A. Unique TensorFlower;49;100;49;false;1
tensorflow\contrib\py2tf\utils\type_check.py;A. Unique TensorFlower;33;100;33;false;1
tensorflow\contrib\py2tf\utils\__init__.py;A. Unique TensorFlower;27;100;27;false;1
tensorflow\contrib\quantize\__init__.py;Suharsh Sivakumar;34;100;34;false;1
tensorflow\contrib\quantize\python\common.py;Suharsh Sivakumar;122;100;122;false;1
tensorflow\contrib\quantize\python\graph_matcher.py;Suharsh Sivakumar;251;100;251;false;1
tensorflow\contrib\quantize\python\input_to_ops.py;Suharsh Sivakumar;61;100;61;false;1
tensorflow\contrib\quantize\python\quantize.py;Suharsh Sivakumar;340;100;340;false;1
tensorflow\contrib\quantize\python\quant_ops.py;Suharsh Sivakumar;303;100;303;false;1
tensorflow\contrib\receptive_field\receptive_field_api.py;A. Unique TensorFlower;27;100;27;false;1
tensorflow\contrib\receptive_field\python\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\reduce_slice_ops\__init__.py;Gao, Xiang;26;100;26;false;1
tensorflow\contrib\remote_fused_graph\pylib\__init__.py;A. Unique TensorFlower;33;100;33;false;1
tensorflow\contrib\remote_fused_graph\pylib\python\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\remote_fused_graph\pylib\python\ops\remote_fused_graph_ops.py;A. Unique TensorFlower;66;100;66;false;1
tensorflow\contrib\remote_fused_graph\pylib\python\ops\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\resampler\__init__.py;Yifei Feng;26;100;26;false;1
tensorflow\contrib\resampler\python\__init__.py;Yifei Feng;19;100;19;false;1
tensorflow\contrib\rnn\python\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\saved_model\__init__.py;Sukriti Ramesh;34;100;34;false;1
tensorflow\contrib\saved_model\python\__init__.py;Sukriti Ramesh;28;100;28;false;1
tensorflow\contrib\saved_model\python\saved_model\reader.py;Sukriti Ramesh;92;100;92;false;1
tensorflow\contrib\saved_model\python\saved_model\signature_def_utils.py;Sukriti Ramesh;42;100;42;false;1
tensorflow\contrib\saved_model\python\saved_model\__init__.py;Sukriti Ramesh;28;100;28;false;1
tensorflow\contrib\seq2seq\python\ops\beam_search_ops.py;Eugene Brevdo;27;100;27;false;1
tensorflow\contrib\seq2seq\python\ops\__init__.py;Robin Richtsfeld;18;100;18;false;1
tensorflow\contrib\signal\python\__init__.py;Dan Ringwalt;19;100;19;false;1
tensorflow\contrib\signal\python\ops\__init__.py;Dan Ringwalt;19;100;19;false;1
tensorflow\contrib\slim\python\slim\summaries.py;A. Unique TensorFlower;220;100;220;false;1
tensorflow\contrib\solvers\__init__.py;A. Unique TensorFlower;27;100;27;false;1
tensorflow\contrib\solvers\python\__init__.py;A. Unique TensorFlower;19;100;19;false;1
tensorflow\contrib\sparsemax\__init__.py;Benoit Steiner;35;100;35;false;1
tensorflow\contrib\sparsemax\python\ops\sparsemax.py;Benoit Steiner;73;100;73;false;1
tensorflow\contrib\sparsemax\python\ops\sparsemax_loss.py;Benoit Steiner;60;100;60;false;1
tensorflow\contrib\specs\__init__.py;Robin Richtsfeld;18;100;18;false;1
tensorflow\contrib\specs\python\params_ops.py;A. Unique TensorFlower;87;100;87;false;1
tensorflow\contrib\specs\python\specs_lib.py;A. Unique TensorFlower;238;100;238;false;1
tensorflow\contrib\staging\__init__.py;A. Unique TensorFlower;20;100;20;false;1
tensorflow\contrib\tensorboard\__init__.py;Dan Smilkov;22;100;22;false;1
tensorflow\contrib\tensorboard\plugins\__init__.py;Dan Smilkov;23;100;23;false;1
tensorflow\contrib\tensorboard\plugins\trace\__init__.py;Dan Smilkov;24;100;24;false;1
tensorflow\contrib\tensor_forest\hybrid\python\hybrid_layer.py;A. Unique TensorFlower;41;100;41;false;1
tensorflow\contrib\tensor_forest\hybrid\python\__init__.py;A. Unique TensorFlower;22;100;22;false;1
tensorflow\contrib\tensor_forest\hybrid\python\layers\fully_connected.py;A. Unique TensorFlower;82;100;82;false;1
tensorflow\contrib\tensor_forest\hybrid\python\layers\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\decisions_to_data_then_nn.py;A. Unique TensorFlower;43;100;43;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\forest_to_data_then_nn.py;A. Unique TensorFlower;46;100;46;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\hard_decisions_to_data_then_nn.py;A. Unique TensorFlower;71;100;71;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\k_feature_decisions_to_data_then_nn.py;A. Unique TensorFlower;43;100;43;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\nn.py;A. Unique TensorFlower;40;100;40;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\stochastic_hard_decisions_to_data_then_nn.py;A. Unique TensorFlower;45;100;45;false;1
tensorflow\contrib\tensor_forest\hybrid\python\models\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\tensor_forest\python\ops\data_ops.py;A. Unique TensorFlower;212;100;212;false;1
tensorflow\contrib\tensor_forest\python\ops\model_ops.py;A. Unique TensorFlower;119;100;119;false;1
tensorflow\contrib\tensor_forest\python\ops\stats_ops.py;A. Unique TensorFlower;114;100;114;false;1
tensorflow\contrib\tensor_forest\python\ops\tensor_forest_ops.py;A. Unique TensorFlower;28;100;28;false;1
tensorflow\contrib\text\__init__.py;Wei Ho;30;100;30;false;1
tensorflow\contrib\text\python\ops\__init__.py;Wei Ho;22;100;22;false;1
tensorflow\contrib\tfprof\model_analyzer.py;A. Unique TensorFlower;118;100;118;false;1
tensorflow\contrib\tfprof\tfprof_logger.py;A. Unique TensorFlower;29;100;29;false;1
tensorflow\contrib\tfprof\__init__.py;A. Unique TensorFlower;36;100;36;false;1
tensorflow\contrib\timeseries\python\__init__.py;Allen Lavoie;23;100;23;false;1
tensorflow\contrib\timeseries\python\timeseries\feature_keys.py;Allen Lavoie;74;100;74;false;1
tensorflow\contrib\timeseries\python\timeseries\input_pipeline.py;Allen Lavoie;832;100;832;false;1
tensorflow\contrib\timeseries\python\timeseries\model_utils.py;Allen Lavoie;98;100;98;false;1
tensorflow\contrib\timeseries\python\timeseries\__init__.py;Allen Lavoie;28;100;28;false;1
tensorflow\contrib\timeseries\python\timeseries\state_space_models\kalman_filter.py;Allen Lavoie;341;100;341;false;1
tensorflow\contrib\timeseries\python\timeseries\state_space_models\__init__.py;Robin Richtsfeld;18;100;18;false;1
tensorflow\contrib\tpu\profiler\pip_package\cloud_tpu_profiler\__init__.py;Eric Liu;19;100;19;false;1
tensorflow\contrib\tpu\python\profiler\__init__.py;Eric Liu;30;100;30;false;1
tensorflow\contrib\tpu\python\tpu\topology.py;Peter Hawkins;137;100;137;false;1
tensorflow\contrib\tpu\python\tpu\tpu_context.py;Jianwei Xie;510;100;510;false;1
tensorflow\contrib\tpu\python\tpu\tpu_function.py;Frank Chen;106;100;106;false;1
tensorflow\contrib\tpu\python\tpu\tpu_system_metadata.py;Jianwei Xie;155;100;155;false;1
tensorflow\contrib\tpu\python\tpu\training_loop.py;Frank Chen;213;100;213;false;1
tensorflow\contrib\tpu\python\tpu\util.py;Jianwei Xie;31;100;31;false;1
tensorflow\contrib\tpu\python\tpu\__init__.py;Frank Chen;20;100;20;false;1
tensorflow\contrib\training\python\__init__.py;Robin Richtsfeld;18;100;18;false;1
